agent_id,city,trust_score,calibration_factor,participation_state,residual_history_len,last_residual_W,last_market_slippage_pct,last_planner_action,step,timestamp
SHE-001,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-002,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-003,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-004,Shenzhen,0.84,1.0,active,4,1150.26,12.6984,reject,3,2026-04-01T03:00:00+08:00
SHE-005,Shenzhen,0.85,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-006,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-007,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-008,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-009,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
SHE-010,Shenzhen,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-001,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-002,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-003,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-004,Hangzhou,0.87,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-005,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-006,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-007,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-008,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-009,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
HAN-010,Hangzhou,1.0,1.0,active,4,0.0,12.6984,approve,3,2026-04-01T03:00:00+08:00
BEI-001,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-002,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-003,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
BEI-004,Beijing,1.0,1.0,active,5,0.0,12.6984,approve,4,2026-04-01T04:00:00+08:00
