attack_type,scenario_family,attack_rate,attack_rows,scenario_description,detector,records,tp,tn,fp,fn,precision,recall,f1,false_acceptance_rate,false_rejection_rate
within_bound_fraud,stealth_physical_boundary,0.05,1800,Reports are physically plausible but economically manipulative.,physics+trust-memory,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
within_bound_fraud,stealth_physical_boundary,0.05,1800,Reports are physically plausible but economically manipulative.,adaptive-solaragent,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
sensor_drift,temporal_persistence,0.08522222222222223,3068,Compromised nodes accumulate a slow positive reporting drift.,3-sigma,36000,40,32932,0,3028,1.0,0.01303780964797914,0.025740025740025742,0.9869621903520208,0.0
sensor_drift,temporal_persistence,0.08522222222222223,3068,Compromised nodes accumulate a slow positive reporting drift.,IQR/MAD,36000,2763,32931,1,305,0.9996382054992764,0.9005867014341591,0.9475308641975307,0.09941329856584094,3.0365601846228593e-05
sensor_drift,temporal_persistence,0.08522222222222223,3068,Compromised nodes accumulate a slow positive reporting drift.,physics-bound,36000,2501,32932,0,567,1.0,0.8151890482398957,0.8981863889387681,0.18481095176010431,0.0
sensor_drift,temporal_persistence,0.08522222222222223,3068,Compromised nodes accumulate a slow positive reporting drift.,physics+temporal,36000,2533,32711,221,535,0.9197530864197531,0.825619295958279,0.8701477155616626,0.17438070404172099,0.0067107980080165185
sensor_drift,temporal_persistence,0.08522222222222223,3068,Compromised nodes accumulate a slow positive reporting drift.,physics+temporal+neighbor,36000,2501,32932,0,567,1.0,0.8151890482398957,0.8981863889387681,0.18481095176010431,0.0
sensor_drift,temporal_persistence,0.08522222222222223,3068,Compromised nodes accumulate a slow positive reporting drift.,physics+trust-memory,36000,2651,32929,3,417,0.9988696307460437,0.8640808344198174,0.9265990912268438,0.13591916558018252,9.109680553868577e-05
sensor_drift,temporal_persistence,0.08522222222222223,3068,Compromised nodes accumulate a slow positive reporting drift.,adaptive-solaragent,36000,2651,32929,3,417,0.9988696307460437,0.8640808344198174,0.9265990912268438,0.13591916558018252,9.109680553868577e-05
weather_spoofing,context_spoofing,0.05,1800,Weather context and generation reports are shifted together.,3-sigma,36000,0,34191,9,1800,0.0,0.0,0.0,1.0,0.0002631578947368421
weather_spoofing,context_spoofing,0.05,1800,Weather context and generation reports are shifted together.,IQR/MAD,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
weather_spoofing,context_spoofing,0.05,1800,Weather context and generation reports are shifted together.,physics-bound,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
weather_spoofing,context_spoofing,0.05,1800,Weather context and generation reports are shifted together.,physics+temporal,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
weather_spoofing,context_spoofing,0.05,1800,Weather context and generation reports are shifted together.,physics+temporal+neighbor,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
weather_spoofing,context_spoofing,0.05,1800,Weather context and generation reports are shifted together.,physics+trust-memory,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
weather_spoofing,context_spoofing,0.05,1800,Weather context and generation reports are shifted together.,adaptive-solaragent,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
replay_attack,temporal_persistence,0.06,2160,Compromised nodes replay earlier physically plausible reports.,3-sigma,36000,289,33840,0,1871,1.0,0.1337962962962963,0.23601469987750107,0.8662037037037037,0.0
replay_attack,temporal_persistence,0.06,2160,Compromised nodes replay earlier physically plausible reports.,IQR/MAD,36000,1577,33840,0,583,1.0,0.7300925925925926,0.843992507358844,0.26990740740740743,0.0
replay_attack,temporal_persistence,0.06,2160,Compromised nodes replay earlier physically plausible reports.,physics-bound,36000,762,33840,0,1398,1.0,0.3527777777777778,0.5215605749486653,0.6472222222222223,0.0
replay_attack,temporal_persistence,0.06,2160,Compromised nodes replay earlier physically plausible reports.,physics+temporal,36000,1299,33663,177,861,0.8800813008130082,0.6013888888888889,0.7145214521452145,0.39861111111111114,0.005230496453900709
replay_attack,temporal_persistence,0.06,2160,Compromised nodes replay earlier physically plausible reports.,physics+temporal+neighbor,36000,1203,33840,0,957,1.0,0.5569444444444445,0.7154326494201606,0.44305555555555554,0.0
replay_attack,temporal_persistence,0.06,2160,Compromised nodes replay earlier physically plausible reports.,physics+trust-memory,36000,1308,33829,11,852,0.9916603487490523,0.6055555555555555,0.7519402127048002,0.39444444444444443,0.0003250591016548463
replay_attack,temporal_persistence,0.06,2160,Compromised nodes replay earlier physically plausible reports.,adaptive-solaragent,36000,1412,33829,11,748,0.9922698524244554,0.6537037037037037,0.7881663410549818,0.34629629629629627,0.0003250591016548463
neighbor_inconsistent_attack,coordination_inconsistency,0.05,1800,A small city-local subset deviates from neighboring agents.,3-sigma,36000,1016,34200,0,784,1.0,0.5644444444444444,0.7215909090909092,0.43555555555555553,0.0
neighbor_inconsistent_attack,coordination_inconsistency,0.05,1800,A small city-local subset deviates from neighboring agents.,IQR/MAD,36000,1800,34200,0,0,1.0,1.0,1.0,0.0,0.0
neighbor_inconsistent_attack,coordination_inconsistency,0.05,1800,A small city-local subset deviates from neighboring agents.,physics-bound,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
neighbor_inconsistent_attack,coordination_inconsistency,0.05,1800,A small city-local subset deviates from neighboring agents.,physics+temporal,36000,1020,33291,909,780,0.5287713841368584,0.5666666666666667,0.5470635559131134,0.43333333333333335,0.026578947368421053
neighbor_inconsistent_attack,coordination_inconsistency,0.05,1800,A small city-local subset deviates from neighboring agents.,physics+temporal+neighbor,36000,1020,34200,0,780,1.0,0.5666666666666667,0.7234042553191489,0.43333333333333335,0.0
neighbor_inconsistent_attack,coordination_inconsistency,0.05,1800,A small city-local subset deviates from neighboring agents.,physics+trust-memory,36000,1792,34200,0,8,1.0,0.9955555555555555,0.9977728285077951,0.0044444444444444444,0.0
neighbor_inconsistent_attack,coordination_inconsistency,0.05,1800,A small city-local subset deviates from neighboring agents.,adaptive-solaragent,36000,1800,34200,0,0,1.0,1.0,1.0,0.0,0.0
coordinated_near_bound,coordinated_stealth,0.05402777777777778,1945,Multiple nodes in the same city inflate reports near the bound.,3-sigma,36000,0,34045,10,1945,0.0,0.0,0.0,1.0,0.00029364263691087944
