scenario,reward_share,liquidity_share,avg_liquidity_MW,min_daylight_liquidity_MW,avg_slippage_pct,peak_slippage_pct,producer_reward_kWh,reward_gini,fulfilled_demand_ratio,unmet_demand_MWh,liquidity_drawdown_pct,composite_score,pareto_efficient,reward_score,slippage_score,unmet_score,drawdown_score,scenario_score,selected_ratio
cloudy_weather,0.0,1.0,0.05207659747716667,0.01913362704,35.62693921985364,78.78626268337109,0.0,0.0,0.8503952927767385,5.786452914000001,89.22972782608898,0.5221942754837361,True,0.0,0.00627739787355407,0.9807901994156168,0.0021875104773774467,0.524327651534833,False
cloudy_weather,0.025,0.975,0.0512246825402375,0.019105286364,35.498328370082035,78.4067572982994,613.378754589,0.6649183249384838,0.8357663476781556,6.352275364146002,88.98398890822695,0.7661142108067791,True,0.0205,0.014576974318322979,0.9573905927473308,0.004935488840400235,0.5201555537035794,False
cloudy_weather,0.05,0.95,0.050372767603308326,0.019076945688,35.358547580698854,78.01342617318878,1226.757509178,0.6649183249384838,0.8210085453019661,6.923081792292002,88.72677440008785,0.7600099758243992,True,0.041,0.023597374611580305,0.9337848734993598,0.007811793127776671,0.5160129558490448,False
cloudy_weather,0.075,0.925,0.04952085266637916,0.019048605012,35.20882561274435,77.605499763242,1840.1362637669997,0.6649183249384825,0.8061531934255527,7.4976612674249985,88.4572612481956,0.7538940245678145,True,0.0615,0.033259303762242176,0.9100231197649277,0.010825627144762855,0.5119090856108436,False
cloudy_weather,0.1,0.9,0.052783063522425004,0.019157129064,35.724214241084525,79.09100190922103,2782.6450817940004,0.6649183249384836,0.8624048586676275,5.321943549053998,89.42534670895793,0.7772084112093054,True,0.09300000000000003,0.0,1.0,0.0,0.5498024293338137,False
cloudy_weather,0.125,0.875,0.051816867313468754,0.01912498659,35.58923786286876,78.67198096746276,3478.3063522424995,0.6649183249384831,0.8459555649626311,5.958173954227498,89.15597712412601,0.7703455513833206,True,0.11624999999999999,0.008710359749812836,0.9736886699571171,0.0030122285766317025,0.5450538148683307,False
cloudy_weather,0.15,0.85,0.05085067110451249,0.019092844116,35.43804273395817,78.23582203200591,4173.967622691,0.6649183249384829,0.8292972375791915,6.602489422766999,88.87252544795122,0.7634351459947687,True,0.1395,0.018467355623011397,0.9470429818437762,0.006181930306693858,0.5403321168327598,False
cloudy_weather,0.175,0.825,0.04988447489555625,0.019060701642,35.27385607683592,77.78145173421994,4869.6288931395,0.6649183249384827,0.8125037209458008,7.252033779112499,88.57385776665569,0.7565051045052827,True,0.16275000000000003,0.029062726965453492,0.9201810528973943,0.009521785194453646,0.5356554640671806,False
cloudy_weather,0.2,0.8,0.05124546095333332,0.019105977599999997,35.501631998747065,78.41617500823754,5984.182971600001,0.6649183249384834,0.8361253472759965,6.338389876799998,88.99011588387468,0.7662630263928297,True,0.20000000000000007,0.014363782984160743,0.9579648275487428,0.004866973862564339,0.556257072533625,True
cloudy_weather,0.225,0.775,0.050206540298541665,0.019071415799999998,35.3301777094003,77.93500190535671,6732.20584305,0.6649183249384829,0.8181184931398165,7.034864042099999,88.67517928776662,0.7588177872063502,True,0.22500000000000003,0.025428152621279506,0.9291621147570578,0.008388756083135891,0.5512091187429627,False
cloudy_weather,0.25,0.75,0.04916761964375,0.019036854,35.144650922021,77.43188582050803,7480.228714499999,0.6649183249384829,0.799981203545761,7.736383226699999,88.34169466991607,0.7513605450816344,True,0.25,0.03740065538555932,0.9001507650206502,0.012117951776789855,0.5462216741716188,False
cloudy_weather,0.275,0.725,0.04812869898895833,0.0190022922,34.94680640816717,76.90529072814797,8228.25158595,0.6649183249384831,0.7817573254695356,8.441251504950001,87.98797375151243,0.7439092098934441,True,0.275,0.05016805152534089,0.8710009134024506,0.01607344014134551,0.5413076338108813,False
cloudy_weather,0.3,0.7,0.047089778334166665,0.0189677304,34.73572740663691,76.35353381366474,8976.274457399997,0.6649183249384831,0.763442392059324,9.149641647,87.61211694848716,0.7364655046649348,True,0.29999999999999993,0.06378950190994649,0.8417054149870308,0.020276463298175177,0.5364739859797658,False
cloudy_weather,0.325,0.675,0.046050857679375,0.0189331686,34.51040432877785,75.77476750947478,9724.29732885,0.6649183249384834,0.7450321028900444,9.861719985899997,87.21197924494001,0.7290316583980243,True,0.325,0.07833015779382332,0.812257391065451,0.024751007913019398,0.5317288646162918,False
cloudy_weather,0.35,0.65,0.04501193702458334,0.018898606800000002,34.27315238245228,75.16695882684422,10472.320200299999,0.6649183249384834,0.726574937568302,10.575611413799997,86.78512923192142,0.72162728790891,True,0.35,0.09364061308352968,0.7827343867866164,0.02952426324528903,0.5270832125876065,False
cloudy_weather,0.375,0.625,0.04397301636979167,0.018864045,34.02436480513203,74.52786549626171,11220.34307175,0.6649183249384838,0.7080878936876294,11.290658492999999,86.32879965949597,0.7142620228896732,True,0.37500000000000006,0.10969549119175413,0.753163590508969,0.03462717410020143,0.5225459882784848,False
cloudy_weather,0.4,0.6,0.042934095714999995,0.0188294832,33.76327824509364,73.85500832623862,11968.365943200002,0.6649183249384834,0.6895695789084879,12.0069150768,85.83982737730041,0.7069399266413319,True,0.40000000000000013,0.1265440530944904,0.7235427751274557,0.040095112444203176,0.5181254305533732,False
cloudy_weather,0.425,0.575,0.041895175060208324,0.018794921399999998,33.48935393904462,73.1456390623219,12716.38881465,0.6649183249384829,0.6710228727267327,12.724269791250002,85.31457990828544,0.699667004940655,True,0.42500000000000004,0.14422106652042962,0.6938765465155663,0.04596869849497278,0.5138306859177361,False
cloudy_weather,0.45,0.55,0.04085625440541667,0.0187603596,33.2007041550494,72.39670286786333,13464.4116861,0.6649183249384829,0.6524315999832608,13.443348263699997,84.7488650512068,0.6924439466311617,True,0.45000000000000007,0.1628483514834692,0.6641390318329657,0.05229481159263621,0.5096716964770792,False
cloudy_weather,0.475,0.525,0.039817333750624996,0.0187257978,32.89907544047368,71.60479434647367,14212.434557549997,0.6649183249384834,0.6338337974899377,14.162679295649998,84.13781875211839,0.6852892392374063,True,0.475,0.18231319895943457,0.6343910725436532,0.059127844078125075,0.5056593780471555,False
cloudy_weather,0.5,0.5,0.03877841309583333,0.018691236,32.582661160761354,70.76610577087985,14960.457428999998,0.6649183249384829,0.6152161805276418,14.8827767172,83.47576489582681,0.6782061940200894,True,0.5,0.20273219554761165,0.6046114191863693,0.0665312691768981,0.5018056249734445,False
cloudy_weather,0.525,0.475,0.03773949244104166,0.0186566742,32.24855366643726,69.87636585778631,15708.48030045,0.6649183249384825,0.5965518552667749,15.60468073545,82.75603845596558,0.6711951890812086,True,0.5250000000000001,0.22429297906500076,0.5747570539611183,0.07457961862533402,0.4981245608205162,False
cloudy_weather,0.55,0.44999999999999996,0.03670057178625,0.018622112399999998,31.895600847310035,68.93076701137441,16456.5031719,0.6649183249384831,0.5778404965481092,16.328403927,81.97076032332627,0.6642662614287027,True,0.55,0.24706989803369778,0.5448274567621793,0.08336100065558835,0.4946315286881066,False
cloudy_weather,0.575,0.42500000000000004,0.03566165113145833,0.0185875506,31.524188612869033,67.92387841948991,17204.526043349997,0.6649183249384829,0.5591043580273501,17.053085558699998,81.11054767372869,0.6574380362128408,True,0.575,0.2710380487592373,0.5148582232382425,0.09298033881031999,0.49134272559190095,False
cloudy_weather,0.6,0.4,0.03462273047666666,0.0185529888,31.134069708495858,66.84954168563168,17952.548914799994,0.6649183249384831,0.5403577707278729,17.778171331199996,80.16413726797859,0.6507287201425725,True,0.5999999999999999,0.29621338719409407,0.4848722764577776,0.10356358439538069,0.48827630030859737,False
cloudy_weather,0.625,0.375,0.033583809821875005,0.018518427,30.722417065373055,65.70074476030855,18700.57178625,0.6649183249384831,0.5215820144459836,18.5043853098,79.11788953697679,0.6441491828329697,True,0.625,0.32277835108599123,0.45483967267567893,0.11526326205396328,0.48545489025615657,False
cloudy_weather,0.65,0.35,0.032544889167083334,0.0184838652,30.286600170512607,64.46946871869287,19448.5946577,0.6649183249384834,0.5027637132485792,19.2322448526,77.95512698493506,0.6377153436359003,True,0.65,0.3509026939485069,0.424739016530127,0.1282658680804854,0.4829044557736026,False
cloudy_weather,0.675,0.32499999999999996,0.03150596851229166,0.018449303400000002,29.824853714833733,63.146500307151804,20196.61752915,0.6649183249384838,0.48390355482392466,19.961723361,76.65523852401095,0.6314516537170877,True,0.675,0.38070033554572497,0.39457140800712937,0.1428018862091565,0.48065406285499185,False
cloudy_weather,0.7,0.30000000000000004,0.030467047857500002,0.018414741600000003,29.33652711433276,61.72120099150051,20944.640400599998,0.6649183249384834,0.46501922667987317,20.692136712599996,75.19244707258967,0.6253931507046877,True,0.7,0.41221325967358324,0.36436513901180373,0.1591595689608047,0.4787360946401947,False
cloudy_weather,0.725,0.275,0.029428127202708335,0.0183801798,28.82054077218835,60.18122025722974,21692.66327205,0.6649183249384834,0.4461253783673989,21.422918287949997,73.53408284340216,0.6195812558775506,True,0.725,0.445511135386941,0.334143642110774,0.17770424661897238,0.4771889360337666,False
cloudy_weather,0.75,0.25,0.02838920654791667,0.018345617999999998,28.273870818344758,58.51213680418215,22440.6861435,0.6649183249384838,0.42721518768958006,22.154331957900002,71.6381144413427,0.6140609783822787,True,0.7500000000000001,0.4807891005045071,0.3038960049160649,0.19890593575784762,0.47606085619996497,False
cloudy_weather,0.775,0.22499999999999998,0.027350285893124996,0.0183110562,27.692407579110693,56.697005552898865,23188.70901495,0.6649183249384825,0.4082725109817324,22.88700213165,69.44953686719909,0.6088882779163591,True,0.7750000000000001,0.5183123624409318,0.27359640496397586,0.2233797304333831,0.47541173687507277,False
