reward_share,liquidity_share,avg_scenario_score,worst_scenario_score,avg_fulfilled_demand_ratio,worst_fulfilled_demand_ratio,avg_producer_reward_kWh,avg_slippage_pct,max_slippage_pct,avg_unmet_demand_MWh,pareto_scenarios,robust_score,feasible,selected_ratio
0.0,1.0,0.6169474463866387,0.524327651534833,0.9606365629107442,0.8503952927767385,0.0,32.355832560551185,85.55583518887997,1.8686103627239792,2,0.5937924976736872,False,False
0.025,0.975,0.615448278991682,0.5201555537035794,0.9553735209915669,0.8357663476781556,920.0681318834999,32.57447199745108,85.26189033704777,2.117871054147743,2,0.5916250976696563,False,False
0.05,0.95,0.6134983911582209,0.5160129558490448,0.9491037203462407,0.8210085453019661,1840.1362637669997,32.773331916375284,84.95573315548965,2.406360214599416,2,0.5891270323309269,False,False
0.075,0.925,0.6112392825328135,0.5119090856108436,0.9421312715659783,0.8061531934255527,2760.2043956504995,32.95764218649025,84.6365864328503,2.7222820220377715,2,0.586406733302321,False,False
0.1,0.9,0.6398887660290393,0.5498024293338137,0.9643904184155142,0.8624048586676275,4173.9676226910005,32.165377709567146,85.7908457416838,1.6857603140235753,7,0.6173671818552329,False,False
0.125,0.875,0.6385395156873404,0.5450538148683307,0.9591366516871999,0.8459555649626311,5217.459528363751,32.42431223604056,85.4674679018704,1.9405381222637372,7,0.6151680904825879,True,False
0.15,0.85,0.6366457715738989,0.5403321168327598,0.9527436183438814,0.8292972375791915,6260.951434036499,32.6643146468243,85.1290281419842,2.239764900280995,2,0.6125673578886142,True,False
0.175,0.825,0.6342344904013231,0.5356554640671806,0.9451781526691844,0.8125037209458008,7304.44333970925,32.88047214051188,84.77444906605824,2.5846690601808198,2,0.6095897338177875,True,False
0.2,0.8,0.6514908550160925,0.556257072533625,0.9555152836824815,0.8361253472759965,8976.274457399999,32.56940070920124,85.26920199456838,2.1112693424130264,7,0.6276824093954756,True,True
0.225,0.775,0.6490767479999558,0.5512091187429627,0.947786636458751,0.8181184931398165,10098.308764575,32.810203123468774,84.89450604994502,2.466297324626549,7,0.6246098406857076,True,False
0.25,0.75,0.6462421515701048,0.5462216741716188,0.9391087255518411,0.799981203545761,11220.34307175,33.031583083156086,84.50025088927227,2.8583871780836225,7,0.6212370322204832,False,False
0.275,0.725,0.6430439843990997,0.5413076338108813,0.9295973455814072,0.7817573254695356,12342.377378925,33.23560591563929,84.08486397566662,3.2828043225839396,7,0.6176098967520451,False,False
0.3,0.7,0.6391765627807541,0.5364739859797658,0.918523531042557,0.763442392059324,13464.411686099998,33.40574133291676,83.64659955676906,3.767779321588803,7,0.613500918580507,False,False
